dataset,model,seed,best_params,train_cindex_mean,train_cindex_std,train_cindex_ci_lower,train_cindex_ci_upper,train_ibs_mean,train_ibs_std,train_ibs_ci_lower,train_ibs_ci_upper,train_cal_mean,train_cal_std,train_cal_ci_lower,train_cal_ci_upper,val_cindex_mean,val_cindex_std,val_cindex_ci_lower,val_cindex_ci_upper,val_ibs_mean,val_ibs_std,val_ibs_ci_lower,val_ibs_ci_upper,val_cal_mean,val_cal_std,val_cal_ci_lower,val_cal_ci_upper,test_cindex_mean,test_cindex_std,test_cindex_ci_lower,test_cindex_ci_upper,test_ibs_mean,test_ibs_std,test_ibs_ci_lower,test_ibs_ci_upper,test_cal_mean,test_cal_std,test_cal_ci_lower,test_cal_ci_upper,time_sec_total,n_bootstrap_iters,n_trials,space_file,status,error
aids,aft,42,"{""distribution"": ""lognormal"", ""num_layers"": 4, ""hidden_units"": 64, ""activation"": ""gelu"", ""dropout"": 0.14719064358051448, ""batchnorm"": false, ""residual"": true, ""use_attention"": true, ""epochs"": 300, ""batch_size"": 64, ""lr"": 0.00021742184533267124, ""weight_decay"": 4.163729365652414e-05, ""patience"": 36, ""val_fraction"": 0.15, ""lr_scheduler"": null, ""interpolation"": ""step""}",0.7887355058141745,0.034941315168297835,0.7175851239124722,0.8444487059567815,0.06507690088105715,0.0029140209572230255,0.06108188166590163,0.0710327943026948,0.03445597159101585,0.006831144907255723,0.02439393771691619,0.046976931777463975,0.7122176921899505,0.061801648255794824,0.5924288267163375,0.8201106397365149,0.07132490263734899,0.0046040085692929415,0.0633667874919361,0.08040883622912255,0.05550572554531075,0.01389809069509175,0.03462314052116143,0.08125513995852468,0.7085529729854009,0.05964814509695417,0.6095632069613119,0.8133785902821139,0.07077038554368058,0.0058309185702373496,0.06287053447555496,0.08456470747177525,0.05767174080394486,0.011602195925007486,0.038788466078261113,0.0790575117285872,3628.460305665969,20,300,spaces/aft.yaml,ok,
aids,coxph,42,"{""epochs"": 300, ""lr"": 0.006989514801483912, ""weight_decay"": 1.997610635206647e-05, ""patience"": 41, ""val_fraction"": 0.15, ""lr_scheduler"": null, ""interpolation"": ""linear""}",0.7782943071493562,0.02878921797840519,0.7129830419043582,0.8145408660794454,0.06361128486259057,0.0020820211931844436,0.06041223442862045,0.067881418110835,0.023576172626044813,0.00623845746504311,0.015088352504446668,0.03775705597355742,0.7310479585854862,0.04691569375293567,0.6309442348802168,0.8005381996488373,0.06740241877077575,0.0033676241791826345,0.06137650533319457,0.07324637437391344,0.042335488383063134,0.0074979179215926145,0.03019713930679904,0.053666647066741346,0.7298402820203032,0.04326050729887384,0.6681524534083217,0.8008211038175214,0.06659022984081672,0.0033821641297647745,0.05989358677297382,0.07218644110977876,0.039921846981976636,0.006736435471618659,0.027338418897688323,0.05137586288755458,422.95992936898256,20,300,spaces/coxph.yaml,ok,
aids,deephit,42,"{""num_durations"": 19, ""num_layers"": 1, ""hidden_units"": 8, ""activation"": ""relu"", ""dropout"": 0.2725972547238837, ""batchnorm"": false, ""residual"": true, ""use_attention"": false, ""epochs"": 300, ""batch_size"": 64, ""lr"": 0.0013031606791920303, ""weight_decay"": 5.626081543526386e-07, ""patience"": 35, ""val_fraction"": 0.15, ""lr_scheduler"": ""step"", ""interpolation"": ""step""}",0.8001177578425296,0.026025240938716596,0.7486519259796139,0.8453302789603087,0.06148554023928872,0.0020437127599607164,0.05847269754051315,0.06531840656708567,0.02224519647739067,0.006481113682374297,0.011944712782863826,0.036125886554431066,0.7196126085285784,0.05695096383812004,0.625047433097271,0.7966984711819766,0.06743198438809464,0.0036272311646414032,0.061301940226662695,0.07265166090385376,0.04032667939639949,0.008546907871671483,0.024999190673315325,0.05307680616359093,0.7183970965211625,0.035521475380827304,0.6652188976194151,0.7877113776880159,0.06699306286872629,0.003488917428814547,0.06028074268118028,0.07271530882668875,0.03975612928443285,0.00597280240909274,0.030033074832531443,0.04873356173920644,2671.8978699669824,20,300,spaces/deephit.yaml,ok,
aids,deepsurv,42,"{""num_layers"": 2, ""hidden_units"": 128, ""activation"": ""relu"", ""dropout"": 0.07944444662333094, ""batchnorm"": false, ""residual"": false, ""use_attention"": false, ""epochs"": 300, ""lr"": 0.00011467856702438405, ""weight_decay"": 1.3943401352006415e-06, ""patience"": 29, ""val_fraction"": 0.15, ""lr_scheduler"": ""step"", ""interpolation"": ""step""}",0.8090669053851913,0.020410607983128024,0.7657504252682885,0.8362278184250466,0.06172076595752239,0.00231438495791267,0.05841729486011621,0.06701638799778381,0.030091978043145506,0.007895209561480486,0.020628672523556282,0.04708656128559217,0.7392743982586013,0.057512643703692454,0.630835619390868,0.83882346599229,0.06652546840344255,0.0033295129825224676,0.05883624455548175,0.07120515777082369,0.04140233831525133,0.011614803104819606,0.02705228679769991,0.06963064410427322,0.7357089090508081,0.04129172038895499,0.6785099240876975,0.8126143673600845,0.06654981190742061,0.0031872992248797513,0.060631053716225715,0.07296506712080641,0.04134289584687399,0.008492870163689404,0.02929781556881881,0.06073207412520805,1151.869877249992,20,300,spaces/deepsurv.yaml,ok,
aids,logistic_hazard,42,"{""num_durations"": 6, ""num_layers"": 3, ""hidden_units"": 64, ""activation"": ""relu"", ""dropout"": 0.12466541391818722, ""batchnorm"": false, ""residual"": true, ""use_attention"": true, ""epochs"": 300, ""batch_size"": 64, ""lr"": 0.0009915330636227596, ""weight_decay"": 1.0856636827809248e-06, ""patience"": 12, ""val_fraction"": 0.15, ""lr_scheduler"": ""step"", ""interpolation"": ""step""}",0.7993378209871074,0.025266720215851586,0.7591013072373761,0.8475885422043729,0.06288748912609313,0.0028564295071928864,0.0582889288090059,0.0666871856406554,0.028242978325715574,0.008208817222797126,0.015004119000222445,0.045711914711856004,0.7162284960156732,0.061446192374648524,0.5958263282884639,0.825304581906486,0.06774902154388078,0.0026817702722758303,0.06310215073797439,0.0712761249828614,0.04464266506685271,0.011911318646986269,0.030832682171975906,0.07211499456622186,0.711535832943021,0.057921788102527655,0.608152340869147,0.8059313616911531,0.06785705291187115,0.004070469937746084,0.06107927892873068,0.07639501517285996,0.04167183638900383,0.007048116716029686,0.030884737234319858,0.05918634953648312,2132.241571209044,20,300,spaces/logistic_hazard.yaml,ok,
aids,pchazard,42,"{""num_durations"": 10, ""num_layers"": 1, ""hidden_units"": 128, ""activation"": ""gelu"", ""dropout"": 0.26779176672763283, ""batchnorm"": false, ""residual"": true, ""use_attention"": true, ""epochs"": 300, ""batch_size"": 64, ""lr"": 0.0016184435473428906, ""weight_decay"": 3.892336526610153e-06, ""patience"": 8, ""val_fraction"": 0.15, ""lr_scheduler"": ""plateau"", ""interpolation"": ""linear""}",0.7697637607282608,0.03493778166190721,0.6952678261337951,0.8146983749837985,0.06390162526674158,0.0023330845532457366,0.05994791836121605,0.06810471952413784,0.02846430797097137,0.006018564792996211,0.016809758046372757,0.0384329584017161,0.7007603231646453,0.05840218467313195,0.6123162211767729,0.8019683291526809,0.06771558411936916,0.0032660313576109283,0.06278507149165284,0.0732968848604573,0.040109433447601525,0.008756297781847713,0.024637984252135044,0.05319649499041993,0.68613373657257,0.07826080569491237,0.5163043424585771,0.7800612609054315,0.06772256506467242,0.00359193387414563,0.06084927973841922,0.07281825288748714,0.04500352294057271,0.007074154396533025,0.03494095402789448,0.058832464273441895,3961.580860138987,20,300,spaces/pchazard.yaml,ok,
aids,xgbcox,42,"{""num_boost_round"": 112, ""learning_rate"": 0.011541154501958627, ""max_depth"": 1, ""subsample"": 0.6901921242810071, ""colsample_bytree"": 0.8819250495439569, ""interpolation"": ""step""}",0.7859436915966977,0.016053576443443286,0.7539296634308293,0.8093094448592345,0.06591579062291904,0.0011839315101910921,0.06412719039513204,0.06787815777497815,0.04086022758648986,0.003938810864024398,0.035625948668590604,0.048377919127951544,0.7350604086970578,0.05141245342897622,0.6401568088142308,0.8124474891356832,0.06776400963808973,0.002307596828807711,0.062485454878559325,0.07005684821127181,0.04700032401871501,0.009926103001521394,0.026863773192866598,0.061632998354239216,0.7462729672679778,0.035430654776837336,0.6871552096222175,0.8013547011202443,0.06691949262548977,0.0027473010917274786,0.06151943251149931,0.07078586869879296,0.046759534645902365,0.007960420123416268,0.03502048398988197,0.06001928479081456,116.25719996198313,20,300,spaces/xgbcox.yaml,ok,
aids,survival_forest,42,"{""n_estimators"": 57, ""max_depth"": 5, ""interpolation"": ""step"", ""n_jobs"": 4}",0.8726309586850585,0.012759822244351557,0.8506380372567673,0.894927354218304,0.06041791353137915,0.0018538060072903406,0.05716180758628193,0.06316726411956719,0.057247825939163624,0.005768692322865342,0.04785566697315295,0.06787041695580298,0.7168664530180531,0.056871740390099984,0.6069388310742801,0.8091234660272404,0.06794364251643603,0.0022927657907966894,0.06241128207644729,0.07022077000650177,0.04586416348957834,0.008331257911865241,0.032768246026250905,0.06086345282047734,0.7234775526920805,0.03785360799914172,0.6536666546093026,0.7869315922499865,0.06727126957934679,0.002764673322379074,0.06151167105670262,0.07096142635686231,0.04414687498563086,0.0072563940245831265,0.033442156692894194,0.05614917424869171,12322.826353008975,20,300,spaces/survival_forest.yaml,ok,
aids,dcm,42,"{""K"": 2, ""enc_layers"": 1, ""enc_output"": 124, ""enc_hidden"": 195, ""activation"": ""gelu"", ""dropout"": 0.04590604846568487, ""batchnorm"": true, ""residual"": true, ""use_attention"": false, ""bias"": true, ""vae_alpha"": 0.5672310698821552, ""vae_recon_weight"": 5.593107297547209, ""gate_ce_weight"": 0.1398102319515164, ""epochs"": 300, ""batch_size"": 128, ""lr"": 0.00032657194540956596, ""weight_decay"": 0.00015335970807343823, ""patience"": 19, ""val_fraction"": 0.15, ""lr_scheduler"": null, ""interpolation"": ""linear""}",0.8110555135748516,0.02426666057767057,0.7667056485235976,0.8410162239107413,0.06159132894603451,0.002620622076908812,0.05750111267394505,0.0664915332234015,0.021815556637829903,0.005497271845702587,0.011240546672200511,0.03223257938180688,0.706232916290744,0.05974389458439534,0.5744942863245696,0.7937531099906247,0.07306964952295611,0.006574137386262408,0.06331988233251955,0.08603930538443853,0.05177730803258438,0.012749688142335304,0.032936317708710944,0.08123736421925083,0.7118765206194542,0.03423194996979249,0.6591757649426697,0.7715469426367667,0.07141494792696942,0.004440215063632774,0.0630682632795358,0.07912082864435994,0.045618505192004104,0.008675185248977795,0.031053732921148196,0.059914398924058095,5924.953023381997,20,300,spaces/dcm.yaml,ok,
aids,vadesc,42,"{""epochs"": 300, ""batch_size"": 64, ""lr"": 0.001514630866608484, ""weight_decay"": 1.544538200206825e-05, ""patience"": 39, ""val_fraction"": 0.15, ""lr_scheduler"": ""step"", ""interpolation"": ""step"", ""K"": 4, ""latent_dim"": 4, ""recon_distribution"": ""gaussian"", ""enc_hidden"": [128, 128], ""dec_hidden"": [128, 256], ""activation"": ""relu"", ""dropout"": 0.0, ""batchnorm"": false, ""residual"": true, ""lambda_recon"": 1.0, ""lambda_surv"": 1.0, ""lambda_kl"": 1.0}",0.748757540399981,0.022051176280808524,0.7136438665565059,0.7941579411814952,0.06725478606048699,0.0020514260137618726,0.06416329181406073,0.0716060788894199,0.039577249996468736,0.00530479286193833,0.032537074770921645,0.05135905622504173,0.7261715087143046,0.05003300384525962,0.6276682245380538,0.7907569927176431,0.06922047591426989,0.0029784125234491345,0.0648344622062231,0.07409817289344375,0.0550097611815882,0.009017896082985678,0.04024610276850586,0.06780949285198752,0.7023554417865443,0.03836791888872497,0.6417665054767281,0.7766897592544234,0.06949999814870698,0.004683545209081275,0.06194182476807528,0.07779969178784708,0.055393183901979226,0.01090571629473539,0.04415309128068978,0.07931808712215312,51643.352658106014,20,300,spaces/vadesc.yaml,ok,
